Username,Password,Role
giselleBernard,oxcKITCH26,Kitchen Staff
javierRuiz,oxcKITCH26,Kitchen Staff
luciaGimenez,oxcKITCH26,Kitchen Staff
reeceLacy,oxcKITCH26,Kitchen Staff
steffanZimmerman,oxcKITCH26,Kitchen Staff
yvesWolfgangKhan,oxcKITCH26,Kitchen Staff
celesteLaroche,oxcMANG26,Manager
martinWegner,oxcMANG26,Manager
maximPavlov,oxcMANG26,Manager
aaryanVerma,oxcWAIT26,Waiter
carlAnderson,oxcWAIT26,Waiter
ivanChernov,oxcWAIT26,Waiter
marieDubois,oxcWAIT26,Waiter
oliviaMiller,oxcWAIT26,Waiter
stacyRyan,oxcWAIT26,Waiter
